pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
164.3,-88.1,0.0,bottom,SW31,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
183.35,-88.1,0.0,bottom,SW32,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
202.4,-88.1,0.0,bottom,SW33,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
221.45,-88.1,0.0,bottom,SW34,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
240.5,-88.1,0.0,bottom,SW35,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
259.55,-88.1,0.0,bottom,SW36,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
50.0,-107.15,0.0,bottom,SW37,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
69.05,-107.15,0.0,bottom,SW38,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
88.1,-107.15,0.0,bottom,SW39,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
107.15,-50.0,0.0,bottom,SW4,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
107.15,-107.15,0.0,bottom,SW40,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
126.2,-107.15,0.0,bottom,SW41,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
145.25,-107.15,0.0,bottom,SW42,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
164.3,-107.15,0.0,bottom,SW43,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
183.35,-107.15,0.0,bottom,SW44,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
202.4,-107.15,0.0,bottom,SW45,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
221.45,-107.15,0.0,bottom,SW46,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
240.5,-107.15,0.0,bottom,SW47,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
259.55,-107.15,0.0,bottom,SW48,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
50.0,-126.2,0.0,bottom,SW49,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
126.2,-50.0,0.0,bottom,SW5,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
69.05,-126.2,0.0,bottom,SW50,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
88.1,-126.2,0.0,bottom,SW51,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
107.15,-126.2,0.0,bottom,SW52,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
126.2,-126.2,0.0,bottom,SW53,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
154.775,-126.2,0.0,bottom,SW54,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
183.35,-126.2,0.0,bottom,SW55,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
202.4,-126.2,0.0,bottom,SW56,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
221.45,-126.2,0.0,bottom,SW57,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
240.5,-126.2,0.0,bottom,SW58,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
259.55,-126.2,0.0,bottom,SW59,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
145.25,-50.0,0.0,bottom,SW6,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
93.5,-27.5,0.0,bottom,SW60,,,SW_PUSH_6mm_THT,RESET,tht
196.0,-27.5,0.0,bottom,SW61,,,SW_PUSH_6mm_THT,BOOTSEL,tht
105.0,-23.9,0.0,top,SW62,,,SW_Slide_MSK12C02,PWR MSK-12C02,smt
164.3,-50.0,0.0,bottom,SW7,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
183.35,-50.0,0.0,bottom,SW8,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
202.4,-50.0,0.0,bottom,SW9,,,SW_Gateron_KS33_HS,KS-2P02B01-02,smt
154.75,-31.0,0.0,top,U1,,,RP2040_QFN56,RP2040,smt
216.0,-31.0,0.0,top,U2,,,SOT-23-5,MCP73831,smt
122.0,-33.5,0.0,top,U3,,,SOT-23-5,AP2112K-3.3,smt
250.0,-31.0,0.0,top,U4,,,SOT-23-6,USBLC6-2SC6,smt
149.8,-24.0,0.0,top,U5,,,FLASH_USON8,W25Q16JVUXIQ,smt
47.0,-30.25,0.0,top,U6,,,RM2_RMC20452T,RM2,smt
176.0,-31.0,0.0,top,U7,,,SOT-23-5,SN74AHCT1G125DBVR,smt
164.0,-30.0,0.0,top,Y1,,,XTAL_3225,12MHz,smt
